Site,PeriodCode,SimpPeriodCode,SiteNum,Lagomorpha,Artiodactyla,Rodentia
Los Pozos - Sweetwater Locus,1,A,AZ AA:12:91 (ASM),0.784615385,0.184615385,0.030769231
Arroyo Site,1,A,AZ AA:3:28 (ASM),0.895522388,0.089552239,0.014925373
Gate Site,1,A,AZ AA:3:8 (ASM),0.911111111,0.022222222,0.066666667
Lookout Site,1,A,AZ S:7:30 (ASM),0.921875,0.015625,0.0625
Willow Ridge Site,2,A,AZ AA:12:968 (ASM),0.27027027,0.711711712,0.018018018
Valley Farms,2,A,?,0.652542373,0.144067797,0.203389831
Dairy (Tierra Excavations),2,A,AZ AA:12:285 (ASM),0.792079208,0.00990099,0.198019802
Cortaro Fan,2,A,AZ AA:12:486 (ASM),0.829268293,0.057926829,0.112804878
Dairy (WestLand excavations),2,A,AZ AA:12:285 (ASM),0.831184056,0.133645955,0.035169988
Las Capas2,2,A,AZ AA:12:111 (ASM),0.899694889,0.042334096,0.057971014
El Taller,2,A,485299,0.902573529,0.080882353,0.016544118
Las Capas1,2,A,AZ AA:12:111 (ASM),0.933588761,0.040868455,0.025542784
Donaldson,3,A,AZ EE:2:30 (ASM),0.52173913,0.413043478,0.065217391
Santa Cruz Bend,3,A,AZ AA:12:746 (ASM),0.799759471,0.159350571,0.040889958
Clearwater,3,A,AZ BB:13:6 (ASM),0.830357143,0.142857143,0.026785714
Los Pozos,3,A,AZ AA:12:91 (ASM),0.845763641,0.123251988,0.030984371
Wetlands,3,A,AZ AA:12:90 (ASM),0.861189802,0.121813031,0.016997167
Las Capas3,3,A,AZ AA:12:111 (ASM),0.931623932,0.051282051,0.017094017
Stonepipe,3,A,AZ BB:13:425 (ASM),0.931707317,0.034146341,0.034146341
Coffee Camp,3,A,AZ AA:6:19 (ASM),0.938101788,0.035763411,0.026134801
Stonepipe,4,B,AZ BB:13:425 (ASM),0.779661017,0.118644068,0.101694915
Houghton Road,4,B,?,0.78125,0.0859375,0.1328125
